Retailer rank,Retailer ID,Annual revenue (€),Country,Product Category,BNPL type,BNPL provider,Year
42,DE-42,394697.22,DE,Electronics,Outsourced only BNPL,PayPal,2023
43,DE-43,161527.81,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
44,DE-44,260309.47,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
45,DE-45,428564.56,DE,Fashion & beauty,No BNPL,No BNPL,2023
46,DE-46,400386.61,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
47,DE-47,367371.42,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
48,DE-48,538091.13,DE,DIY,In-house only BNPL,Klarna,2023
49,DE-49,419930.27,DE,Electronics,Outsourced only BNPL,Riverty,2023
50,DE-50,299304.87,DE,Electronics,Outsourced only BNPL,Klarna,2023
51,DE-51,0,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
52,DE-52,294718.49,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
53,DE-53,243349.34,DE,Electronics,No BNPL,No BNPL,2023
54,DE-54,35587.7,DE,DIY,No BNPL,No BNPL,2023
55,DE-55,295491.99,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
56,DE-56,461428.55,DE,Fashion & beauty,Outsourced only BNPL,Ratepay,2023
57,DE-57,151976.56,DE,DIY,In-house only BNPL,Others,2023
58,DE-58,356364.57,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
59,DE-59,150098.57,DE,DIY,In-house + Outsourced BNPL,Klarna,2023
60,DE-60,469289.64,DE,Electronics,Outsourced only BNPL,PayPal,2023
61,DE-61,158614.49,DE,DIY,Outsourced only BNPL,PayPal,2023
62,DE-62,257129.72,DE,Electronics,In-house only BNPL,PayPal,2023
63,DE-63,11739.3,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
64,DE-64,331310.72,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
65,DE-65,442675.23,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
66,DE-66,282556.19,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
67,DE-67,22097.11,DE,Fashion & beauty,In-house only BNPL,PayPal,2023
68,DE-68,36837.94,DE,Fashion & beauty,No BNPL,No BNPL,2023
69,DE-69,252600.38,DE,Home & Furniture,In-house + Outsourced BNPL,Riverty,2023
70,DE-70,490706.82,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
71,DE-71,35821.5,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
72,DE-72,146494.48,DE,Toys & Hobbies,No BNPL,No BNPL,2023
73,DE-73,294647.52,DE,Fashion & beauty,No BNPL,No BNPL,2023
74,DE-74,85434.22,DE,DIY,No BNPL,No BNPL,2023
75,DE-75,110697.01,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
76,DE-76,371279.76,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
77,DE-77,73228.51,DE,Home & Furniture,No BNPL,No BNPL,2023
78,DE-78,80745.02,DE,Toys & Hobbies,Outsourced only BNPL,Riverty,2023
79,DE-79,271557.47,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
80,DE-80,362156.91,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
81,DE-81,303007.05,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
82,DE-82,152757.19,DE,Toys & Hobbies,In-house + Outsourced BNPL,PayPal,2023
83,DE-83,314178.1,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
84,DE-84,477113.13,DE,Home & Furniture,In-house + Outsourced BNPL,Klarna,2023
85,DE-85,45434.96,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
86,DE-86,352636.28,DE,Electronics,Outsourced only BNPL,Klarna,2023
87,DE-87,337252.04,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
88,DE-88,77456.83,DE,Electronics,In-house only BNPL,Riverty,2023
89,DE-89,212856,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
90,DE-90,0,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
91,DE-91,409114.37,DE,Electronics,Outsourced only BNPL,Klarna,2023
92,DE-92,119679.93,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
93,DE-93,0,DE,Toys & Hobbies,In-house + Outsourced BNPL,Klarna,2023
94,DE-94,237290.86,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
95,DE-95,500997.46,DE,Electronics,Outsourced only BNPL,PayPal,2023
96,DE-96,573151.04,DE,Electronics,Outsourced only BNPL,Klarna,2023
97,DE-97,553090.85,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
98,DE-98,280996.34,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
99,DE-99,674431.24,DE,Home & Furniture,No BNPL,No BNPL,2023
100,DE-100,406493.05,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
101,DE-101,338763.89,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
102,DE-102,554926.81,DE,Electronics,Outsourced only BNPL,PayPal,2023
103,DE-103,149486.37,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
104,DE-104,443.36,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
105,DE-105,688254.66,DE,Electronics,Outsourced only BNPL,PayPal,2023
106,DE-106,0,DE,DIY,Outsourced only BNPL,Klarna,2023
107,DE-107,439811.94,DE,Electronics,Outsourced only BNPL,PayPal,2023
108,DE-108,79956.62,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
109,DE-109,517203.36,DE,Fashion & beauty,No BNPL,No BNPL,2023
110,DE-110,0,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
111,DE-111,256198.37,DE,Fashion & beauty,No BNPL,No BNPL,2023
112,DE-112,75460.1,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
113,DE-113,282127.05,DE,Electronics,In-house + Outsourced BNPL,Riverty,2023
114,DE-114,419920.42,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
115,DE-115,262572.42,DE,DIY,Outsourced only BNPL,Riverty,2023
116,DE-116,525925.77,DE,Electronics,Outsourced only BNPL,Klarna,2023
117,DE-117,95819.68,DE,DIY,In-house + Outsourced BNPL,PayPal,2023
118,DE-118,273465.48,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
119,DE-119,6463.76,DE,Toys & Hobbies,Outsourced only BNPL,Riverty,2023
120,DE-120,469755.37,DE,Home & Furniture,In-house + Outsourced BNPL,PayPal,2023
121,DE-121,311095.76,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
122,DE-122,104200.77,DE,DIY,Outsourced only BNPL,Riverty,2023
123,DE-123,464833.27,DE,Electronics,Outsourced only BNPL,Riverty,2023
124,DE-124,173971.39,DE,Fashion & beauty,No BNPL,No BNPL,2023
125,DE-125,0,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
126,DE-126,7162.28,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
127,DE-127,247550.65,DE,Home & Furniture,In-house + Outsourced BNPL,Klarna,2023
128,DE-128,20549.13,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
129,DE-129,0,DE,DIY,Outsourced only BNPL,PayPal,2023
130,DE-130,185722.83,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
131,DE-131,448993.31,DE,Electronics,Outsourced only BNPL,Klarna,2023
132,DE-132,0,DE,DIY,In-house only BNPL,Klarna,2023
133,DE-133,110383.13,DE,Electronics,In-house + Outsourced BNPL,PayPal,2023
134,DE-134,0,DE,Toys & Hobbies,In-house + Outsourced BNPL,Riverty,2023
135,DE-135,106311.16,DE,Home & Furniture,No BNPL,No BNPL,2023
136,DE-136,157310.57,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
137,DE-137,46196.76,DE,Toys & Hobbies,Outsourced only BNPL,Klarna,2023
138,DE-138,0,DE,Fashion & beauty,In-house only BNPL,PayPal,2023
139,DE-139,464543.71,DE,Electronics,In-house only BNPL,Riverty,2023
140,DE-140,34553.81,DE,Fashion & beauty,In-house + Outsourced BNPL,Riverty,2023
141,DE-141,338028.8,DE,Fashion & beauty,No BNPL,No BNPL,2023
142,DE-142,0,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
143,DE-143,94818.5,DE,Toys & Hobbies,In-house only BNPL,Unzer,2023
144,DE-144,202518.48,DE,Fashion & beauty,In-house only BNPL,Riverty,2023
145,DE-145,490228.72,DE,Fashion & beauty,No BNPL,No BNPL,2023
146,DE-146,441854.17,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
147,DE-147,487960.59,DE,Toys & Hobbies,Outsourced only BNPL,Riverty,2023
148,DE-148,238340.34,DE,Electronics,Outsourced only BNPL,Klarna,2023
149,DE-149,48173.47,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
150,DE-150,80078.76,DE,Toys & Hobbies,No BNPL,No BNPL,2023
151,DE-151,390084.77,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
152,DE-152,284619.27,DE,Electronics,Outsourced only BNPL,Riverty,2023
153,DE-153,0,DE,DIY,No BNPL,No BNPL,2023
154,DE-154,466291.75,DE,DIY,No BNPL,No BNPL,2023
155,DE-155,635888.02,DE,Electronics,In-house only BNPL,Riverty,2023
156,DE-156,306164.87,DE,Electronics,No BNPL,No BNPL,2023
157,DE-157,177092.03,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
158,DE-158,447563.26,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
159,DE-159,101048.74,DE,DIY,In-house only BNPL,Klarna,2023
160,DE-160,59396.12,DE,Toys & Hobbies,In-house + Outsourced BNPL,Klarna,2023
161,DE-161,0,DE,Fashion & beauty,In-house + Outsourced BNPL,Ratepay,2023
162,DE-162,221524.1,DE,Home & Furniture,No BNPL,No BNPL,2023
163,DE-163,0,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
164,DE-164,505535.36,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
165,DE-165,485859.44,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
166,DE-166,213503.7,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
167,DE-167,329075.19,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
168,DE-168,473726.31,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
169,DE-169,611684.9,DE,Electronics,Outsourced only BNPL,Riverty,2023
170,DE-170,0,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
171,DE-171,500471.41,DE,Fashion & beauty,No BNPL,No BNPL,2023
172,DE-172,264818.96,DE,Home & Furniture,Outsourced only BNPL,Ratepay,2023
173,DE-173,0,DE,Toys & Hobbies,In-house + Outsourced BNPL,Unzer,2023
174,DE-174,38890.46,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
175,DE-175,0,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
176,DE-176,533934.51,DE,Electronics,In-house only BNPL,Riverty,2023
177,DE-177,473319.65,DE,Electronics,Outsourced only BNPL,Riverty,2023
178,DE-178,12024.04,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
179,DE-179,2854.79,DE,Fashion & beauty,In-house + Outsourced BNPL,Riverty,2023
180,DE-180,500809.3,DE,Electronics,Outsourced only BNPL,Klarna,2023
181,DE-181,178593.93,DE,Fashion & beauty,Outsourced only BNPL,Others,2023
182,DE-182,0,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
183,DE-183,110054.9,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
184,DE-184,92795.98,DE,Toys & Hobbies,In-house + Outsourced BNPL,PayPal,2023
185,DE-185,322833.34,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
186,DE-186,351501.54,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
187,DE-187,0,DE,Fashion & beauty,Outsourced only BNPL,Others,2023
188,DE-188,523374.85,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
189,DE-189,315311.39,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
190,DE-190,262250.03,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
191,DE-191,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
192,DE-192,240692.73,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
193,DE-193,70685.42,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
194,DE-194,0,DE,DIY,Outsourced only BNPL,PayPal,2023
195,DE-195,248405.47,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
196,DE-196,495988.83,DE,Fashion & beauty,In-house only BNPL,Riverty,2023
197,DE-197,42550.77,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
198,DE-198,161932.26,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
199,DE-199,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
200,DE-200,512593.85,DE,Electronics,Outsourced only BNPL,Klarna,2023
201,DE-201,281521.22,DE,Electronics,Outsourced only BNPL,Klarna,2023
202,DE-202,0,DE,DIY,Outsourced only BNPL,Klarna,2023
203,DE-203,254091.37,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
204,DE-204,189952.38,DE,Fashion & beauty,Outsourced only BNPL,Unzer,2023
205,DE-205,0,DE,DIY,No BNPL,No BNPL,2023
206,DE-206,401078.25,DE,Home & Furniture,Outsourced only BNPL,Ratepay,2023
207,DE-207,0,DE,Fashion & beauty,No BNPL,No BNPL,2023
208,DE-208,508672.04,DE,Electronics,In-house + Outsourced BNPL,PayPal,2023
209,DE-209,0,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
210,DE-210,259616.99,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
211,DE-211,186784.04,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
212,DE-212,157796.76,DE,Electronics,Outsourced only BNPL,Klarna,2023
213,DE-213,601258.56,DE,Electronics,Outsourced only BNPL,Riverty,2023
214,DE-214,134621.63,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
215,DE-215,0,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
216,DE-216,0,DE,Toys & Hobbies,Outsourced only BNPL,Klarna,2023
217,DE-217,124229.17,DE,Toys & Hobbies,In-house + Outsourced BNPL,Klarna,2023
218,DE-218,279202.96,DE,Electronics,No BNPL,No BNPL,2023
219,DE-219,483556.41,DE,Home & Furniture,In-house only BNPL,Riverty,2023
220,DE-220,300884.17,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
221,DE-221,478890.43,DE,Electronics,Outsourced only BNPL,PayPal,2023
222,DE-222,115803.1,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
223,DE-223,340242.78,DE,DIY,Outsourced only BNPL,Klarna,2023
224,DE-224,118384.93,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
225,DE-225,203683.68,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
226,DE-226,435287.46,DE,DIY,Outsourced only BNPL,Klarna,2023
227,DE-227,247122.91,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
228,DE-228,204173.04,DE,Toys & Hobbies,Outsourced only BNPL,Klarna,2023
229,DE-229,267699.28,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
230,DE-230,116942.42,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
231,DE-231,158127.82,DE,Home & Furniture,In-house + Outsourced BNPL,Klarna,2023
232,DE-232,80031.13,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
233,DE-233,295795.97,DE,Fashion & beauty,In-house only BNPL,Klarna,2023
234,DE-234,166732.42,DE,DIY,Outsourced only BNPL,Klarna,2023
235,DE-235,46025.01,DE,DIY,Outsourced only BNPL,Klarna,2023
236,DE-236,204247.26,DE,Electronics,In-house + Outsourced BNPL,Klarna,2023
237,DE-237,423921.18,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
238,DE-238,471127.57,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
239,DE-239,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
240,DE-240,349208.86,DE,Toys & Hobbies,Outsourced only BNPL,Klarna,2023
241,DE-241,689150.4,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
242,DE-242,125844.24,DE,DIY,In-house only BNPL,Klarna,2023
243,DE-243,296201.85,DE,Fashion & beauty,No BNPL,No BNPL,2023
244,DE-244,444776.8,DE,Electronics,In-house + Outsourced BNPL,Riverty,2023
245,DE-245,568637.33,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
246,DE-246,0,DE,Toys & Hobbies,No BNPL,No BNPL,2023
247,DE-247,411144.98,DE,Electronics,Outsourced only BNPL,Klarna,2023
248,DE-248,418838.3,DE,Fashion & beauty,Outsourced only BNPL,Unzer,2023
249,DE-249,0,DE,Fashion & beauty,In-house only BNPL,PayPal,2023
250,DE-250,0,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
251,DE-251,132843.06,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
252,DE-252,533804.31,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
253,DE-253,0,DE,Electronics,Outsourced only BNPL,Others,2023
254,DE-254,189141.03,DE,Fashion & beauty,No BNPL,No BNPL,2023
255,DE-255,196222.26,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
256,DE-256,0,DE,Toys & Hobbies,In-house only BNPL,Klarna,2023
257,DE-257,202785.86,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
258,DE-258,95174.98,DE,DIY,Outsourced only BNPL,Klarna,2023
259,DE-259,393449.35,DE,Electronics,Outsourced only BNPL,Ratepay,2023
260,DE-260,291315.05,DE,Electronics,Outsourced only BNPL,PayPal,2023
261,DE-261,0,DE,Fashion & beauty,In-house + Outsourced BNPL,Riverty,2023
262,DE-262,418301.37,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
263,DE-263,118497.66,DE,Electronics,Outsourced only BNPL,PayPal,2023
264,DE-264,44436.66,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
265,DE-265,587135.68,DE,Electronics,In-house only BNPL,Riverty,2023
266,DE-266,454311.02,DE,Fashion & beauty,In-house only BNPL,Riverty,2023
267,DE-267,145095.95,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
268,DE-268,297874.91,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
269,DE-269,342191.99,DE,Fashion & beauty,In-house only BNPL,PayPal,2023
270,DE-270,288852.66,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
271,DE-271,318620.25,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
272,DE-272,338090.71,DE,Electronics,In-house only BNPL,Klarna,2023
273,DE-273,465226.6,DE,Electronics,Outsourced only BNPL,Klarna,2023
274,DE-274,0,DE,DIY,Outsourced only BNPL,Klarna,2023
275,DE-275,59131.26,DE,Fashion & beauty,In-house + Outsourced BNPL,Riverty,2023
276,DE-276,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
277,DE-277,0,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
278,DE-278,389291.27,DE,Toys & Hobbies,Outsourced only BNPL,Riverty,2023
279,DE-279,392473.06,DE,Electronics,In-house + Outsourced BNPL,Riverty,2023
280,DE-280,470660.38,DE,Home & Furniture,In-house + Outsourced BNPL,Klarna,2023
281,DE-281,461560.35,DE,Electronics,Outsourced only BNPL,Klarna,2023
282,DE-282,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
283,DE-283,103686.79,DE,DIY,Outsourced only BNPL,Klarna,2023
284,DE-284,269516.34,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
285,DE-285,89169.05,DE,Toys & Hobbies,In-house only BNPL,Others,2023
286,DE-286,4325.44,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
287,DE-287,151205.95,DE,DIY,Outsourced only BNPL,Riverty,2023
288,DE-288,446538.2,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
289,DE-289,0,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
290,DE-290,144084.61,DE,Electronics,Outsourced only BNPL,PayPal,2023
291,DE-291,287353.35,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
292,DE-292,48923.41,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
293,DE-293,4825.35,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
294,DE-294,410728.36,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
295,DE-295,0,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
296,DE-296,340061.98,DE,Fashion & beauty,In-house only BNPL,Riverty,2023
297,DE-297,912016.91,DE,Electronics,Outsourced only BNPL,Klarna,2023
298,DE-298,230788.02,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
299,DE-299,393002.3,DE,Electronics,Outsourced only BNPL,Klarna,2023
300,DE-300,554160.13,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
301,DE-301,226481.55,DE,DIY,Outsourced only BNPL,PayPal,2023
302,DE-302,394510.89,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
303,DE-303,385113.31,DE,Electronics,Outsourced only BNPL,PayPal,2023
304,DE-304,324134.42,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
305,DE-305,361958.09,DE,Home & Furniture,In-house + Outsourced BNPL,Klarna,2023
306,DE-306,316156.15,DE,DIY,Outsourced only BNPL,Klarna,2023
307,DE-307,285923.64,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
308,DE-308,241537.54,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
309,DE-309,183788.69,DE,Electronics,No BNPL,No BNPL,2023
310,DE-310,260630.57,DE,Toys & Hobbies,No BNPL,No BNPL,2023
311,DE-311,205663.68,DE,Fashion & beauty,No BNPL,No BNPL,2023
312,DE-312,105951.23,DE,DIY,Outsourced only BNPL,Riverty,2023
313,DE-313,113100.75,DE,Fashion & beauty,In-house only BNPL,PayPal,2023
314,DE-314,188165.58,DE,Home & Furniture,In-house only BNPL,PayPal,2023
315,DE-315,212625.67,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
316,DE-316,162053.79,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
317,DE-317,303410.05,DE,Home & Furniture,Outsourced only BNPL,Riverty,2023
318,DE-318,577926.16,DE,Electronics,Outsourced only BNPL,PayPal,2023
319,DE-319,416456.8,DE,Electronics,In-house + Outsourced BNPL,PayPal,2023
320,DE-320,463096.08,DE,Home & Furniture,No BNPL,No BNPL,2023
321,DE-321,96542.31,DE,Fashion & beauty,No BNPL,No BNPL,2023
322,DE-322,531869.49,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
323,DE-323,0,DE,Toys & Hobbies,In-house + Outsourced BNPL,PayPal,2023
324,DE-324,540676.9,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
325,DE-325,131109.9,DE,Electronics,Outsourced only BNPL,Klarna,2023
326,DE-326,16269.61,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
327,DE-327,393063.02,DE,Electronics,In-house only BNPL,PayPal,2023
328,DE-328,296842.95,DE,Home & Furniture,Outsourced only BNPL,PayPal,2023
329,DE-329,246864.48,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
330,DE-330,157202.23,DE,Fashion & beauty,No BNPL,No BNPL,2023
331,DE-331,433290.44,DE,Electronics,Outsourced only BNPL,Riverty,2023
332,DE-332,298490.25,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
333,DE-333,275371.89,DE,Electronics,Outsourced only BNPL,Klarna,2023
334,DE-334,88904.58,DE,Fashion & beauty,In-house + Outsourced BNPL,Riverty,2023
335,DE-335,334100.85,DE,Toys & Hobbies,In-house only BNPL,Riverty,2023
336,DE-336,285850.74,DE,Electronics,Outsourced only BNPL,Ratepay,2023
337,DE-337,240584.6,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
338,DE-338,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
339,DE-339,0,DE,DIY,In-house only BNPL,Klarna,2023
